MC161_DMSO_10uM,,"MC71"/5:MC71,,"Focused Graph"-0.002:MC61_DMSO_10uM,,"Focused Graph"-0.0025:MC169_DMSO_10uM1,,"MC67_DMSO_10uM"+0.001:MC67_DMSO_10uM,,"MC147_DMSO_10uM"+0.0017:MC147_DMSO_10uM,,"MC152_DMSO_10uM"-0.0011:MC152_DMSO_10uM,,"MC155_DMSO_10uM"-0.0015:MC155_DMSO_10uM,,MC71_DMSO_10uM,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
800.0042114,-0.0002853766782,699.989502,0.0001428889373,800.0042114,-0.001543882885,800.0042114,-0.0004443265498,800.0042114,-0.001070850645,800.0042114,0.0002704988001,800.0042114,-0.0007915368187,800.0042114,-0.002811265411,799.9837646,-0.0003051918466,
799.000061,0.0003364666773,698.9834595,0.0001253370574,799.000061,0.001080431044,799.000061,0.0009154586587,799.000061,0.001085406286,799.000061,0.0002249883255,799.000061,-0.0005945413141,799.000061,-0.0006643222878,799.0142822,0.001409861376,
797.9956055,0.001690767356,698.0130005,0.0001898894261,797.9956055,8.511613123E-005,797.9956055,0.0008247517981,797.9956055,-8.533557411E-005,797.9956055,0.000354153337,797.9956055,0.0001291208901,797.9956055,-0.001032325323,798.0098877,0.0002626407659,
796.9906616,2.368630703E-005,697.0063477,0.000183751632,796.9906616,-0.001049359562,796.9906616,0.0004444962833,796.9906616,0.0001693892991,796.9906616,7.636460941E-005,796.9906616,-0.0001510197762,796.9906616,-0.001537947217,797.0050659,0.001016306458,
795.9852905,3.859769276E-005,695.9994507,0.0001809967507,795.9852905,-0.0003208228154,795.9852905,-0.0003969620448,795.9852905,0.0004498576163,795.9852905,0.000695131137,795.9852905,-0.0001165407011,795.9852905,-0.001085626893,795.9996948,-0.0004507513368,
795.0143433,-0.0004816777364,694.9921265,0.0001862315985,795.0143433,-0.0012026279,795.0143433,-0.0002398234792,795.0143433,-0.0005894373171,795.0143433,0.0002875276841,795.0143433,-0.001581419143,795.0143433,-0.001102598035,794.9940796,0.0006450393703,
794.0082397,-0.00129784504,693.984436,0.000167420847,794.0082397,-0.001467302674,794.0082397,-4.253908992E-005,794.0082397,-0.001642048941,794.0082397,0.0006993149873,794.0082397,-0.0008987158071,794.0082397,-0.0008419204387,793.9879761,-0.0008743238868,
793.00177,0.000384784129,693.0125122,0.000154184163,793.00177,0.0005263490602,793.00177,0.0008915865328,793.00177,0.0003740626853,793.00177,-0.0001323244069,793.00177,0.002369103488,793.00177,-0.001742018154,793.0162354,0.001087535755,
791.994812,-0.0001068958954,692.0042725,0.0001230765774,791.994812,-0.000994201866,791.994812,-9.728292935E-005,791.994812,0.000248973025,791.994812,0.0008779154159,791.994812,0.0004367440706,791.994812,-0.001159569714,792.0093384,0.001039607101,
790.9876099,0.0001126444549,690.9956055,0.0001981136447,790.9876099,-0.001067000208,790.9876099,0.0005719324108,790.9876099,0.0005949700135,790.9876099,-0.00126287376,790.9876099,-5.83169749E-005,790.9876099,-0.001138766413,791.0021362,-0.000158703755,
790.0145874,0.0001229498594,689.9866333,0.0002162666933,790.0145874,-0.0005861133104,790.0145874,0.0005038958043,790.0145874,8.457689546E-006,790.0145874,0.0005805814872,790.0145874,-0.0005012851325,790.0145874,-0.0007828327944,789.9943848,0.0001384084462,
789.0065918,0.0004386520886,689.0134277,0.0001918247726,789.0065918,-0.0005575190298,789.0065918,-0.001419263193,789.0065918,0.001088616787,789.0065918,0.0007326323539,789.0065918,-0.0007613312919,789.0065918,-0.001849527005,788.9862671,-0.00150498806,
787.9980469,0.0002372579183,688.0038452,0.000158022187,787.9980469,-0.0008690722752,787.9980469,0.0002070835326,787.9980469,-0.0006207985571,787.9980469,0.0004741156008,787.9980469,0.001523373881,787.9980469,-0.001652907347,788.0126343,0.0009061770397,
786.9891968,0.000368539535,686.9939575,0.0001898686896,786.9891968,-0.00164298946,786.9891968,0.0003562590573,786.9891968,0.00014386361,786.9891968,-0.00094935589,786.9891968,-0.0003341099364,786.9891968,-0.0009646330727,787.0037842,-0.0001827682427,
786.0147095,-0.0005625517806,685.9837036,0.0002148394415,786.0147095,-0.00117272546,786.0147095,-0.0003057818394,786.0147095,-0.0009146998636,786.0147095,-0.0009631976718,786.0147095,-0.0002813617466,786.0147095,-0.002079665661,785.9945679,0.0002118247503,
785.0050659,-0.0008909606258,685.0092773,0.0002560112043,785.0050659,-0.001736323233,785.0050659,-0.001043285942,785.0050659,-0.001346940524,785.0050659,-0.001283235499,785.0050659,-0.0008008881705,785.0050659,-0.00281714974,784.9848633,0.0002802024246,
783.9949341,0.001779625774,683.9984131,0.0002333178709,783.9949341,9.143678471E-005,783.9949341,0.001803306863,783.9949341,0.0006976536242,783.9949341,0.002375812735,783.9949341,0.001227368135,783.9949341,-0.001242125174,784.0097046,0.0005644218763,
782.9845581,0.0003987492528,682.9872437,0.0002688791137,782.9845581,-0.0001837497111,782.9845581,0.0008270472754,782.9845581,-0.0009126380319,782.9845581,0.0004251769278,782.9845581,-0.0004471572465,782.9845581,-0.0004644666333,782.9992065,0.0003897068382,
782.0085449,-0.0002740976634,682.0118408,0.0002415877098,782.0085449,0.0003050130326,782.0085449,0.0007868781686,782.0085449,0.0003981543123,782.0085449,0.001377063221,782.0085449,0.001241786173,782.0085449,-0.0004158378579,781.9884644,0.0004140881065,
780.9973755,-0.0002286164672,681,0.0002150574292,780.9973755,-0.0005884247366,780.9973755,0.0009933973197,780.9973755,0.0005803324748,780.9973755,0.0004524332471,780.9973755,0.0002769584535,780.9973755,-0.001513564028,781.0120239,-0.0005128087942,
779.9856567,0.0001387709635,679.987915,0.0002165832993,779.9856567,-0.001373236999,779.9856567,-8.40856228E-005,779.9856567,-0.001130822464,779.9856567,-0.0001437177416,779.9856567,-0.00144357793,779.9856567,-0.001519155223,780.0004883,5.180091102E-005,
